Absolute path,Relative path,Class name
C:\Users\nasty\ap_laba2\dataset1\rose\0038.jpg,rose\0038.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0039.jpg,rose\0039.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0040.jpg,rose\0040.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0041.jpg,rose\0041.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0042.jpg,rose\0042.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0043.jpg,rose\0043.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0044.jpg,rose\0044.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0045.jpg,rose\0045.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0046.jpg,rose\0046.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0047.jpg,rose\0047.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0048.jpg,rose\0048.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0049.jpg,rose\0049.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0050.jpg,rose\0050.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0051.jpg,rose\0051.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0052.jpg,rose\0052.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0053.jpg,rose\0053.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0054.jpg,rose\0054.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0055.jpg,rose\0055.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0056.jpg,rose\0056.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0057.jpg,rose\0057.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0058.jpg,rose\0058.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0059.jpg,rose\0059.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0060.jpg,rose\0060.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0061.jpg,rose\0061.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0062.jpg,rose\0062.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0063.jpg,rose\0063.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0064.jpg,rose\0064.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0065.jpg,rose\0065.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0066.jpg,rose\0066.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0067.jpg,rose\0067.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0068.jpg,rose\0068.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0069.jpg,rose\0069.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0070.jpg,rose\0070.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0071.jpg,rose\0071.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0072.jpg,rose\0072.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0073.jpg,rose\0073.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0074.jpg,rose\0074.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0075.jpg,rose\0075.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0076.jpg,rose\0076.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0077.jpg,rose\0077.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0078.jpg,rose\0078.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0079.jpg,rose\0079.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0080.jpg,rose\0080.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0081.jpg,rose\0081.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0082.jpg,rose\0082.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0083.jpg,rose\0083.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0084.jpg,rose\0084.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0085.jpg,rose\0085.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0086.jpg,rose\0086.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0087.jpg,rose\0087.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0088.jpg,rose\0088.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0089.jpg,rose\0089.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0090.jpg,rose\0090.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0091.jpg,rose\0091.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0092.jpg,rose\0092.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0093.jpg,rose\0093.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0094.jpg,rose\0094.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0095.jpg,rose\0095.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0096.jpg,rose\0096.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0097.jpg,rose\0097.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0098.jpg,rose\0098.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0099.jpg,rose\0099.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0100.jpg,rose\0100.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0101.jpg,rose\0101.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0102.jpg,rose\0102.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0103.jpg,rose\0103.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0104.jpg,rose\0104.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0105.jpg,rose\0105.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0106.jpg,rose\0106.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0107.jpg,rose\0107.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0108.jpg,rose\0108.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0109.jpg,rose\0109.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0110.jpg,rose\0110.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0111.jpg,rose\0111.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0112.jpg,rose\0112.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0113.jpg,rose\0113.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0114.jpg,rose\0114.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0115.jpg,rose\0115.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0116.jpg,rose\0116.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0117.jpg,rose\0117.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0118.jpg,rose\0118.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0119.jpg,rose\0119.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0120.jpg,rose\0120.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0121.jpg,rose\0121.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0122.jpg,rose\0122.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0123.jpg,rose\0123.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0124.jpg,rose\0124.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0125.jpg,rose\0125.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0126.jpg,rose\0126.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0127.jpg,rose\0127.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0128.jpg,rose\0128.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0129.jpg,rose\0129.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0130.jpg,rose\0130.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0131.jpg,rose\0131.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0132.jpg,rose\0132.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0133.jpg,rose\0133.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0134.jpg,rose\0134.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0135.jpg,rose\0135.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0136.jpg,rose\0136.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0137.jpg,rose\0137.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0138.jpg,rose\0138.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0139.jpg,rose\0139.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0140.jpg,rose\0140.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0141.jpg,rose\0141.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0142.jpg,rose\0142.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0143.jpg,rose\0143.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0144.jpg,rose\0144.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0145.jpg,rose\0145.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0146.jpg,rose\0146.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0147.jpg,rose\0147.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0148.jpg,rose\0148.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0149.jpg,rose\0149.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0150.jpg,rose\0150.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0151.jpg,rose\0151.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0152.jpg,rose\0152.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0153.jpg,rose\0153.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0154.jpg,rose\0154.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0155.jpg,rose\0155.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0156.jpg,rose\0156.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0157.jpg,rose\0157.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0158.jpg,rose\0158.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0159.jpg,rose\0159.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0160.jpg,rose\0160.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0161.jpg,rose\0161.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0162.jpg,rose\0162.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0163.jpg,rose\0163.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0164.jpg,rose\0164.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0165.jpg,rose\0165.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0166.jpg,rose\0166.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0167.jpg,rose\0167.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0168.jpg,rose\0168.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0169.jpg,rose\0169.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0170.jpg,rose\0170.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0171.jpg,rose\0171.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0172.jpg,rose\0172.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0173.jpg,rose\0173.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0174.jpg,rose\0174.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0175.jpg,rose\0175.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0176.jpg,rose\0176.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0177.jpg,rose\0177.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0178.jpg,rose\0178.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0179.jpg,rose\0179.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0180.jpg,rose\0180.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0181.jpg,rose\0181.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0182.jpg,rose\0182.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0183.jpg,rose\0183.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0184.jpg,rose\0184.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0185.jpg,rose\0185.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0186.jpg,rose\0186.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0187.jpg,rose\0187.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0188.jpg,rose\0188.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0189.jpg,rose\0189.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0190.jpg,rose\0190.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0191.jpg,rose\0191.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0192.jpg,rose\0192.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0193.jpg,rose\0193.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0194.jpg,rose\0194.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0195.jpg,rose\0195.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0196.jpg,rose\0196.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0197.jpg,rose\0197.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0198.jpg,rose\0198.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0199.jpg,rose\0199.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0200.jpg,rose\0200.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0201.jpg,rose\0201.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0202.jpg,rose\0202.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0203.jpg,rose\0203.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0204.jpg,rose\0204.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0205.jpg,rose\0205.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0206.jpg,rose\0206.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0207.jpg,rose\0207.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0208.jpg,rose\0208.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0209.jpg,rose\0209.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0210.jpg,rose\0210.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0211.jpg,rose\0211.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0212.jpg,rose\0212.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0213.jpg,rose\0213.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0214.jpg,rose\0214.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0215.jpg,rose\0215.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0216.jpg,rose\0216.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0217.jpg,rose\0217.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0218.jpg,rose\0218.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0219.jpg,rose\0219.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0220.jpg,rose\0220.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0221.jpg,rose\0221.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0222.jpg,rose\0222.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0223.jpg,rose\0223.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0224.jpg,rose\0224.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0225.jpg,rose\0225.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0226.jpg,rose\0226.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0227.jpg,rose\0227.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0228.jpg,rose\0228.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0229.jpg,rose\0229.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0230.jpg,rose\0230.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0231.jpg,rose\0231.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0232.jpg,rose\0232.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0233.jpg,rose\0233.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0234.jpg,rose\0234.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0235.jpg,rose\0235.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0236.jpg,rose\0236.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0237.jpg,rose\0237.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0238.jpg,rose\0238.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0239.jpg,rose\0239.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0240.jpg,rose\0240.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0241.jpg,rose\0241.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0242.jpg,rose\0242.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0243.jpg,rose\0243.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0244.jpg,rose\0244.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0245.jpg,rose\0245.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0246.jpg,rose\0246.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0247.jpg,rose\0247.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0248.jpg,rose\0248.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0249.jpg,rose\0249.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0250.jpg,rose\0250.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0251.jpg,rose\0251.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0252.jpg,rose\0252.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0253.jpg,rose\0253.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0254.jpg,rose\0254.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0255.jpg,rose\0255.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0256.jpg,rose\0256.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0257.jpg,rose\0257.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0258.jpg,rose\0258.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0259.jpg,rose\0259.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0260.jpg,rose\0260.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0261.jpg,rose\0261.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0262.jpg,rose\0262.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0263.jpg,rose\0263.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0264.jpg,rose\0264.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0265.jpg,rose\0265.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0266.jpg,rose\0266.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0267.jpg,rose\0267.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0268.jpg,rose\0268.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0269.jpg,rose\0269.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0270.jpg,rose\0270.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0271.jpg,rose\0271.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0272.jpg,rose\0272.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0273.jpg,rose\0273.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0274.jpg,rose\0274.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0275.jpg,rose\0275.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0276.jpg,rose\0276.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0277.jpg,rose\0277.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0278.jpg,rose\0278.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0279.jpg,rose\0279.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0280.jpg,rose\0280.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0281.jpg,rose\0281.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0282.jpg,rose\0282.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0283.jpg,rose\0283.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0284.jpg,rose\0284.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0285.jpg,rose\0285.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0286.jpg,rose\0286.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0287.jpg,rose\0287.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0288.jpg,rose\0288.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0289.jpg,rose\0289.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0290.jpg,rose\0290.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0291.jpg,rose\0291.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0292.jpg,rose\0292.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0293.jpg,rose\0293.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0294.jpg,rose\0294.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0295.jpg,rose\0295.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0296.jpg,rose\0296.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0297.jpg,rose\0297.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0298.jpg,rose\0298.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0299.jpg,rose\0299.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0300.jpg,rose\0300.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0301.jpg,rose\0301.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0302.jpg,rose\0302.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0303.jpg,rose\0303.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0304.jpg,rose\0304.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0305.jpg,rose\0305.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0306.jpg,rose\0306.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0307.jpg,rose\0307.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0308.jpg,rose\0308.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0309.jpg,rose\0309.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0310.jpg,rose\0310.jpg,rose
